epoch,test_acc,train_acc,test_loss,train_loss,Next training size,amount original images labelled,amount augmented images labelled
-1,0,0,0,0,300,25,75
0,0.5402615666389465,0.8635417222976685,1.9807546138763428,0.3998056948184967,600,58,142
1,0.6659984588623047,0.9128289222717285,1.4071128368377686,0.25575023889541626,900,92,208
2,0.6882431507110596,0.9105603694915771,1.2428169250488281,0.299262136220932,1200,126,274
3,0.7506245374679565,0.9202302694320679,0.9646950960159302,0.2573931813240051,1500,160,340
4,0.7817246317863464,0.9260069131851196,0.8897609710693359,0.22711332142353058,1800,193,407
5,0.788419246673584,0.9407894611358643,0.8260002136230469,0.20503045618534088,2100,226,474
6,0.8068920373916626,0.9261363744735718,0.7298462986946106,0.23947004973888397,2400,259,541
7,0.8059864640235901,0.9366666674613953,0.7889115810394287,0.19776120781898499,2700,293,607
8,0.8338266611099243,0.9427695870399475,0.6235188245773315,0.19052745401859283,3000,326,674
9,0.8068607449531555,0.9387189745903015,0.752061665058136,0.19886262714862823,3300,359,741
10,0.82963627576828,0.9350961446762085,0.6015759110450745,0.207061305642128,3600,393,807
11,0.8504509329795837,0.9184181690216064,0.5958227515220642,0.24958230555057526,3900,426,874
12,0.8548349142074585,0.9477459192276001,0.6746068596839905,0.16594214737415314,4200,460,940
13,0.856071412563324,0.9455492496490479,0.5572622418403625,0.17416512966156006,4500,493,1007
14,0.8587254881858826,0.9434840679168701,0.5386759638786316,0.17296484112739563,4800,527,1073
15,0.8652452826499939,0.9454166889190674,0.4771299362182617,0.17749522626399994,5100,560,1140
16,0.8710781335830688,0.9494792222976685,0.5093142986297607,0.1684892475605011,5400,594,1206
17,0.8865907788276672,0.9488411545753479,0.4528888165950775,0.16875457763671875,5700,627,1273
18,0.8694169521331787,0.9406424760818481,0.4796864986419678,0.18438929319381714,6000,660,1340
19,0.8717401027679443,0.9506316781044006,0.49837130308151245,0.1583729237318039,6300,694,1406
20,0.8829748630523682,0.9546093344688416,0.45643100142478943,0.1478939801454544,6600,727,1473
21,0.8536108732223511,0.9524456262588501,0.5661647915840149,0.15028999745845795,6900,760,1540
22,0.8973259329795837,0.953906238079071,0.4194279909133911,0.14525319635868073,7200,794,1606
23,0.8904688954353333,0.9565277695655823,0.4355769455432892,0.13964185118675232,7500,827,1673
24,0.8982251882553101,0.9561170339584351,0.4181249439716339,0.13391567766666412,7800,860,1740
25,0.893447756767273,0.9588456153869629,0.4408569931983948,0.13134148716926575,8100,894,1806
26,0.8924360871315002,0.9522637724876404,0.3914703130722046,0.1459684818983078,8400,927,1873
27,0.8707534074783325,0.9548479318618774,0.5068329572677612,0.14900356531143188,8700,960,1940
28,0.8853104710578918,0.9548319578170776,0.4429178833961487,0.1423884630203247,9000,993,2007
29,0.8671250343322754,0.9561170339584351,0.5533940196037292,0.13529016077518463,9300,1027,2073
30,0.9081172943115234,0.9616623520851135,0.3378206789493561,0.1259244978427887,9600,1060,2140
31,0.899305522441864,0.9582291841506958,0.35269322991371155,0.13350257277488708,9900,1093,2207
32,0.9118954539299011,0.9568884968757629,0.31593242287635803,0.12863625586032867,10200,1127,2273
33,0.914343535900116,0.961108922958374,0.3149870038032532,0.12151172757148743,10500,1161,2339
34,0.8979441523551941,0.9572568535804749,0.3796250820159912,0.1351666897535324,10800,1194,2406
35,0.9057566523551941,0.964127242565155,0.4037492573261261,0.11901042610406876,11100,1227,2473
36,0.9061937928199768,0.9589851498603821,0.3594866394996643,0.13172242045402527,11400,1261,2539
37,0.8932353854179382,0.9596463441848755,0.4030124843120575,0.1305643767118454,11700,1294,2606
38,0.8983938097953796,0.9608094096183777,0.37270668148994446,0.12132509052753448,12000,1328,2672
39,0.9167852997779846,0.9620833396911621,0.3145136535167694,0.11682267487049103,12300,1361,2739
40,0.916310727596283,0.9620130062103271,0.31349214911460876,0.12061992287635803,12600,1394,2806
41,0.9092413783073425,0.9635152220726013,0.3408321738243103,0.12075475603342056,12900,1427,2873
42,0.9026091694831848,0.9616336822509766,0.37240731716156006,0.11584614217281342,13200,1460,2940
43,0.9153115153312683,0.9639073610305786,0.3139554560184479,0.11469246447086334,13500,1493,3007
44,0.913088321685791,0.9659994840621948,0.3275403678417206,0.11159753799438477,13800,1527,3073
45,0.9163793921470642,0.9576099514961243,0.3324246108531952,0.1287366896867752,14100,1560,3140
46,0.9092850685119629,0.9638180732727051,0.3709009289741516,0.11641591787338257,14400,1593,3207
47,0.918571412563324,0.9638194441795349,0.3181098997592926,0.11564198136329651,14700,1627,3273
48,0.9131320118904114,0.9665308594703674,0.35202154517173767,0.10682658851146698,15000,1660,3340
49,0.9259904623031616,0.9966684579849243,0.3344123363494873,0.01071166805922985,15300,1693,3407
