epoch,test_acc,train_acc,test_loss,train_loss,Next training size,amount original images labelled,amount augmented images labelled
-1,0,0,0,0,300,37,63
0,0.11510791629552841,0.17604167759418488,2.3886020183563232,2.36966609954834,600,70,130
1,0.1846335381269455,0.3656798303127289,2.4137308597564697,1.9928923845291138,900,103,197
2,0.1846335381269455,0.3534482717514038,2.287801742553711,1.9381110668182373,1200,136,264
3,0.1846335381269455,0.4152960479259491,2.2581136226654053,1.7974199056625366,1500,169,331
4,0.1846335381269455,0.43398556113243103,2.325730800628662,1.7137526273727417,1800,203,397
5,0.1846335381269455,0.44572368264198303,2.23980712890625,1.6438542604446411,2100,236,464
6,0.1846335381269455,0.4437499940395355,2.1925063133239746,1.6195204257965088,2400,269,531
7,0.1846335381269455,0.48249998688697815,2.262744903564453,1.5277982950210571,2700,303,597
8,0.18491457402706146,0.49791666865348816,2.229426860809326,1.435280442237854,3000,336,664
9,0.18536420166492462,0.49058064818382263,2.325906991958618,1.457310438156128,3300,369,731
10,0.1846335381269455,0.46304085850715637,2.387907028198242,1.548708200454712,3600,402,798
11,0.21728867292404175,0.5118916034698486,2.0826308727264404,1.3916003704071045,3900,435,865
12,0.22808003425598145,0.553315281867981,2.131227731704712,1.2793731689453125,4200,468,932
13,0.21312949061393738,0.5248579382896423,2.170602560043335,1.3702374696731567,4500,502,998
14,0.22892311215400696,0.5620567202568054,2.001335620880127,1.245666742324829,4800,535,1065
15,0.23201438784599304,0.6008333563804626,1.9554469585418701,1.167155146598816,5100,568,1132
16,0.2334757149219513,0.625781238079071,2.1307432651519775,1.080639362335205,5400,602,1198
17,0.23128372430801392,0.6323964595794678,2.272844076156616,1.0495837926864624,5700,635,1265
18,0.2445356249809265,0.6312848925590515,1.9976837635040283,1.0502020120620728,6000,668,1332
19,0.23870278894901276,0.6434507966041565,2.0253970623016357,1.0175584554672241,6300,701,1399
20,0.2352180778980255,0.6477973461151123,2.0284841060638428,1.0114178657531738,6600,734,1466
21,0.23291367292404175,0.6532306671142578,2.089848756790161,1.0057148933410645,6900,767,1533
22,0.2664305865764618,0.6703992486000061,1.896451473236084,0.9291990995407104,7200,800,1600
23,0.23673561215400696,0.6663888692855835,2.0051863193511963,0.9396687746047974,7500,833,1667
24,0.25036847591400146,0.6687942743301392,1.9264074563980103,0.9313020706176758,7800,866,1734
25,0.26248377561569214,0.6874145865440369,2.009474992752075,0.8965778946876526,8100,899,1801
26,0.3054930865764618,0.6982037425041199,1.947065830230713,0.8542737364768982,8400,932,1868
27,0.30408796668052673,0.7097195982933044,1.9099314212799072,0.8409308791160583,8700,966,1934
28,0.30325740575790405,0.7155330777168274,1.9566757678985596,0.8269144296646118,9000,1000,2000
29,0.3837617337703705,0.734375,1.7600278854370117,0.7728005051612854,9300,1033,2067
30,0.37252071499824524,0.7512457370758057,1.8692631721496582,0.7355213761329651,9600,1067,2133
31,0.3769172430038452,0.7586458325386047,1.7783185243606567,0.7291477918624878,9900,1101,2199
32,0.3442433476448059,0.7488574981689453,1.9597285985946655,0.7496920824050903,10200,1134,2266
33,0.33893507719039917,0.7587513327598572,1.9135792255401611,0.7217797636985779,10500,1167,2333
34,0.37860336899757385,0.77688068151474,1.7836374044418335,0.6796480417251587,10800,1200,2400
35,0.34727218747138977,0.7708949446678162,1.9027929306030273,0.6833484172821045,11100,1234,2466
36,0.38439249992370605,0.787193775177002,1.7233279943466187,0.6491909027099609,11400,1268,2532
37,0.4154738783836365,0.7895658016204834,1.6915020942687988,0.6430290341377258,11700,1301,2599
38,0.3632906377315521,0.8010416626930237,2.0095324516296387,0.6106252074241638,12000,1334,2666
39,0.4067933261394501,0.8084166646003723,1.7504373788833618,0.5924885869026184,12300,1367,2733
40,0.40475744009017944,0.8093884587287903,1.7999343872070312,0.5842102766036987,12600,1401,2799
41,0.3674498200416565,0.8154346346855164,1.9814273118972778,0.5718005895614624,12900,1434,2866
42,0.4215877056121826,0.8144338130950928,1.8045265674591064,0.5765358805656433,13200,1468,2932
43,0.34631672501564026,0.8206719160079956,2.1692700386047363,0.5599900484085083,13500,1502,2998
44,0.34732213616371155,0.8218940496444702,1.9668829441070557,0.5478275418281555,13800,1535,3065
45,0.34153929352760315,0.8319588899612427,2.0357468128204346,0.5195288062095642,14100,1568,3132
46,0.4143560230731964,0.8304421901702881,2.0001914501190186,0.5363114476203918,14400,1601,3199
47,0.37771034240722656,0.8354166746139526,2.0517232418060303,0.5194976925849915,14700,1634,3266
48,0.4103904664516449,0.834782600402832,1.9868146181106567,0.5175325274467468,15000,1667,3333
49,0.8354878425598145,0.9939365386962891,0.8306008577346802,0.02011871337890625,15300,1700,3400
