epoch,test_acc,train_acc,test_loss,train_loss,Next training size,amount original images labelled,amount augmented images labelled
-1,0,0,0,0,300,21,79
0,0.5649979710578918,0.859375,1.8525272607803345,0.4888506531715393,600,54,146
1,0.6669788956642151,0.9122807383537292,1.4352420568466187,0.3040247857570648,900,87,213
2,0.6698328256607056,0.90625,1.7892307043075562,0.297685831785202,1200,120,280
3,0.7359175086021423,0.9407894611358643,1.1275361776351929,0.1946905553340912,1500,154,346
4,0.7565447688102722,0.9427241683006287,1.0851805210113525,0.1661015748977661,1800,188,412
5,0.7614470720291138,0.9353070259094238,1.0464000701904297,0.19558407366275787,2100,222,478
6,0.769609272480011,0.9336174726486206,0.8806736469268799,0.20498709380626678,2400,255,545
7,0.7903364300727844,0.9566666483879089,0.8529852032661438,0.136187344789505,2700,288,612
8,0.7797136902809143,0.9550245404243469,0.9509474039077759,0.1383785903453827,3000,322,678
9,0.8013526201248169,0.959330677986145,0.8540863394737244,0.12365784496068954,3300,355,745
10,0.7942021489143372,0.948317289352417,0.7526623010635376,0.15223853290081024,3600,388,812
11,0.8223608732223511,0.9623894095420837,0.6693264245986938,0.1365450769662857,3900,422,878
12,0.8187075257301331,0.9545887112617493,0.7126030325889587,0.1491004377603531,4200,455,945
13,0.8313974142074585,0.9585700631141663,0.6657183766365051,0.1294819414615631,4500,488,1012
14,0.8233287930488586,0.9597517251968384,0.6580125689506531,0.12483327835798264,4800,522,1078
15,0.8369616866111755,0.9606249928474426,0.6197682023048401,0.13031010329723358,5100,555,1145
16,0.8223983645439148,0.9634765386581421,0.7233800292015076,0.11763882637023926,5400,588,1212
17,0.8478217124938965,0.964065670967102,0.5977523326873779,0.11746851354837418,5700,621,1279
18,0.8630533218383789,0.9622905254364014,0.5515234470367432,0.1179138794541359,6000,654,1346
19,0.8618667721748352,0.9642619490623474,0.508813202381134,0.12181462347507477,6300,687,1413
20,0.8654014468193054,0.9655547738075256,0.5031819343566895,0.11385740339756012,6600,720,1480
21,0.8471285700798035,0.9651268124580383,0.5738370418548584,0.11268410831689835,6900,753,1547
22,0.8840615153312683,0.9620949029922485,0.3992502987384796,0.12476786226034164,7200,786,1614
23,0.8682491183280945,0.961388885974884,0.5279560685157776,0.1232304498553276,7500,820,1680
24,0.8736885190010071,0.966400682926178,0.46901851892471313,0.11253008246421814,7800,853,1747
25,0.8773044347763062,0.969091534614563,0.4802156686782837,0.1020277813076973,8100,886,1814
26,0.8845236301422119,0.9648129940032959,0.3975309133529663,0.110743947327137,8400,920,1880
27,0.884030282497406,0.9739781618118286,0.431450754404068,0.08635038882493973,8700,953,1947
28,0.889288604259491,0.967240035533905,0.4353627562522888,0.10292153060436249,9000,987,2013
29,0.8869154453277588,0.9642065763473511,0.45589157938957214,0.10650352388620377,9300,1021,2079
30,0.8908498287200928,0.9698238968849182,0.4114720821380615,0.09248841553926468,9600,1055,2145
31,0.893166720867157,0.96854168176651,0.41153138875961304,0.09888879954814911,9900,1088,2212
32,0.8908748030662537,0.967943549156189,0.40581607818603516,0.09946344792842865,10200,1121,2279
33,0.8883580565452576,0.9741379022598267,0.4596776068210602,0.08417341858148575,10500,1154,2346
34,0.8556654453277588,0.9703647494316101,0.5124197006225586,0.09274426102638245,10800,1187,2413
35,0.8935601711273193,0.9731878638267517,0.45373475551605225,0.08799462765455246,11100,1220,2480
36,0.8995741009712219,0.9717991352081299,0.37498754262924194,0.08884266763925552,11400,1253,2547
37,0.9027777910232544,0.9721638560295105,0.3619500994682312,0.0891512781381607,11700,1287,2613
38,0.8985186815261841,0.9724897146224976,0.38028213381767273,0.09203584492206573,12000,1321,2679
39,0.9036083817481995,0.9735000133514404,0.36804935336112976,0.08625495433807373,12300,1354,2746
40,0.8906749486923218,0.9737284183502197,0.4240276515483856,0.08506924659013748,12600,1387,2813
41,0.903777003288269,0.9716581702232361,0.3800347149372101,0.09199361503124237,12900,1421,2879
42,0.9094662070274353,0.9699876308441162,0.3345077335834503,0.09171289205551147,13200,1454,2946
43,0.8985874056816101,0.9751815795898438,0.4386173486709595,0.07864641398191452,13500,1487,3013
44,0.8899192810058594,0.9738278388977051,0.44228312373161316,0.08077509701251984,13800,1520,3080
45,0.9146495461463928,0.9714988470077515,0.3278163969516754,0.09176231920719147,14100,1554,3146
46,0.9116020202636719,0.9747732281684875,0.3294520080089569,0.07962039858102798,14400,1587,3213
47,0.9099970459938049,0.9761805534362793,0.3507879972457886,0.07854301482439041,14700,1621,3279
48,0.9196829795837402,0.974320650100708,0.3055618703365326,0.08106756955385208,15000,1655,3345
49,0.9232364296913147,0.9979344606399536,0.37933093309402466,0.007312352303415537,15300,1688,3412
