epoch,test_acc,train_acc,test_loss,train_loss,Next training size,amount original images labelled,amount augmented images labelled
0,0.5405363440513611,0.8656250238418579,2.2524116039276123,0.39696091413497925,600,66,134
1,0.6338741183280945,0.8854167461395264,1.3670918941497803,0.3361278176307678,900,110,190
2,0.6527902483940125,0.931034505367279,1.40657377243042,0.22504030168056488,1200,147,253
3,0.7192433476448059,0.9333881735801697,1.1136589050292969,0.2285705804824829,1500,182,318
4,0.7401453256607056,0.9421542286872864,0.9787159562110901,0.18256129324436188,1800,213,387
5,0.760647714138031,0.9265350699424744,0.8498411178588867,0.24010871350765228,2100,246,454
6,0.7702088356018066,0.9439393877983093,0.8577319979667664,0.1696130633354187,2400,276,524
7,0.7923723459243774,0.9479166865348816,0.8363451361656189,0.16713400185108185,2700,310,590
8,0.8127185702323914,0.9522058963775635,0.712102472782135,0.16070713102817535,3000,348,652
9,0.8331084847450256,0.9510195255279541,0.712788999080658,0.15927723050117493,3300,376,724
10,0.8411458134651184,0.9368990659713745,0.6671929359436035,0.19542333483695984,3600,406,794
11,0.8376486301422119,0.9333517551422119,0.6041390895843506,0.21456782519817352,3900,445,855
12,0.8347697257995605,0.941561758518219,0.6349315643310547,0.17902249097824097,4200,480,920
13,0.8451676368713379,0.9415246248245239,0.596626877784729,0.1816919893026352,4500,499,1001
14,0.8669751882553101,0.936258852481842,0.47052615880966187,0.20362499356269836,4800,531,1069
15,0.8677183389663696,0.9462500214576721,0.48218822479248047,0.16335980594158173,5100,559,1141
16,0.883443295955658,0.949023425579071,0.42382532358169556,0.16208389401435852,5400,595,1205
17,0.8778914213180542,0.949642539024353,0.46225452423095703,0.15450969338417053,5700,635,1265
18,0.8699977397918701,0.9469273686408997,0.5129017233848572,0.16795749962329865,6000,666,1334
19,0.8746752738952637,0.9408244490623474,0.4350334405899048,0.17600591480731964,6300,690,1410
20,0.8840739727020264,0.9574419856071472,0.4152677059173584,0.14404867589473724,6600,710,1490
21,0.9013039469718933,0.9533514380455017,0.3860546052455902,0.14106927812099457,6898,735,1565
22,0.8739258646965027,0.9504404664039612,0.4386273920536041,0.16271375119686127,7198,763,1637
23,0.8993929624557495,0.955407440662384,0.36499595642089844,0.14496558904647827,7498,781,1719
24,0.8991806507110596,0.9578457474708557,0.4137206971645355,0.13054639101028442,7798,806,1794
25,0.892660915851593,0.9501211047172546,0.38655057549476624,0.15326251089572906,8098,824,1876
26,0.8967638611793518,0.9504182934761047,0.4102582037448883,0.1603185087442398,8398,842,1958
27,0.8917616009712219,0.9597195982933044,0.44835564494132996,0.13209114968776703,8698,864,2036
28,0.8959770202636719,0.957146167755127,0.37958940863609314,0.1335684061050415,8998,893,2107
29,0.9077675342559814,0.9567819237709045,0.3532998561859131,0.13726872205734253,9298,917,2183
30,0.8945156335830688,0.9594311118125916,0.4079422652721405,0.13132722675800323,9598,948,2252
31,0.8979441523551941,0.9557222723960876,0.4032130241394043,0.13971617817878723,9898,973,2327
32,0.8873088955879211,0.9572176933288574,0.46297821402549744,0.1295640617609024,10198,988,2412
33,0.9083983302116394,0.9599422812461853,0.34073394536972046,0.1277185082435608,10498,1009,2491
34,0.8906375169754028,0.9570668935775757,0.4406740367412567,0.13197080790996552,10798,1031,2569
35,0.9025092124938965,0.9628064632415771,0.3541557192802429,0.11599849909543991,11098,1057,2643
36,0.9118392467498779,0.96157306432724,0.3430896997451782,0.12160968780517578,11398,1066,2734
37,0.9121515154838562,0.956932783126831,0.3535446524620056,0.14023010432720184,11698,1097,2803
38,0.9066996574401855,0.955363929271698,0.3355872333049774,0.13987325131893158,11998,1116,2884
39,0.9080610871315002,0.9584944844245911,0.3228119909763336,0.13161695003509521,12298,1135,2965
40,0.9171537756919861,0.9602272510528564,0.30479660630226135,0.1284434050321579,12598,1151,3049
41,0.9140874743461609,0.9573286771774292,0.3366318345069885,0.13222834467887878,12898,1167,3133
42,0.8975195288658142,0.9614015817642212,0.3856697678565979,0.1263924539089203,13198,1183,3217
43,0.9151865839958191,0.9649667143821716,0.3448282480239868,0.11160778999328613,13498,1199,3301
44,0.9193457961082458,0.9653663635253906,0.3168531358242035,0.11510970443487167,13798,1215,3385
45,0.9110274314880371,0.9627218842506409,0.3389236629009247,0.12031766027212143,14098,1229,3471
46,0.9184464812278748,0.9631677269935608,0.31436410546302795,0.11669919639825821,14398,1246,3554
47,0.9042391180992126,0.9664583206176758,0.3914143741130829,0.10877709090709686,14698,1268,3632
48,0.9091164469718933,0.9649184346199036,0.3632526993751526,0.11224790662527084,14998,1287,3713
49,0.929968535900116,0.9976679086685181,0.33252426981925964,0.007653338368982077,15298,1307,3793
